code, width, action, veg, votes, height
a12*d<c>3x,16,sell,Marrow,302,   2.02
g31*v<n>2u,19,sell,Cabbage,1254,   1.19
v99*o<o>1y,15,buy,Kale,1843,   2.03
v24*q<x>0n,19,sell,Potato,1469,   1.78
644*b<c>6a,8,sell,Turnip,81,   1.88
z20*o<v>3s,16,sell,Squash,2948,   1.90
h73*h<k>3d,9,sell,Okra,202,   1.87
h08*u<t>8i,23,sell,Yam,1200,   1.91
v62*g<c>9p,16,sell,Kale,349,   1.95
d22*w<o>0j,20,buy,Leek,2764,   1.88
b31*l<s>7v,9,sell,Marrow,1485,   0.84
s67*f<d>4z,12,sell,Yam,503,   1.94
c37*v<r>0y,10,buy,Kale,854,   2.04
u90*j<p>8o,11,buy,Marrow,1229,   2.12
m97*x<i>6t,10,buy,Okra,1742,   2.08
z79*x<l>6v,16,sell,Potato,2721,   1.85
k93*x<i>9q,6,buy,Yam,1915,   2.08
y29*m<v>8s,11,sell,Okra,2205,   1.59
u62*a<v>1v,8,sell,Marrow,2097,   1.83
j22*g2y>1s,5,sell,Cabbage,2994,   1.98
v96*o<w>9j,24,buy,Swede,1107,   1.84
c59*r<n>6d,8,sell,Leek,621,   1.84
h10*n<w>1c,7,sell,Turnip,135,   1.94
q4r*o<d>4m,7,sell,Broccoli,434,   1.54
b62*q<u>9s,6,buy,Sprout,2806,   1.87
i91a<o>2e,6,buy,Yam,2063,   2.06
p10*j<o>4d,13,sell,Broccoli,272,   1.48
m35*a<u>8w,14,sell,Mooli,2785,   1.48
v86*z<r>4d,23,sell,Potato,86,   2.12
f34dg<g>9e,8,sell,Kale,2260,   1.08
x15*s<s>4w,23,sell,Marrow,1315,   1.94
p70*a<w>7d,10,sell,Parsnip,2509,   2.01
n96*i<a>9u,10,sell,Corn,2402,   1.38
i84*x<p>1v,18,sell,Swede,2474,   1.99
d33*e<y>0c,23,sell,Sprout,1965,   1.63
z22*k<b>3p,6,sell,Parsnip,2617,   1.86
h26*p<s>3t,12,sell,Potato,2923,   1.86
p66*r<g>4t,14,sell,Marrow,941,   2.05
g25*m<y>4y,12,sell,Parsnip,2347,   2.08
t35*z<g>8k,5,sell,Sprout,2427,   1.95
z57*q<d>8h,6,buy,Leek,2817,   2.10
e98*f<c>2x,8,buy,Pea,1819,   1.47
dm3*g<i>9x,15,sell,Mooli,507,   1.13
l27*q<y>9m,11,buy,Marrow,2863,   1.51
d02*k<c>9z,5,sell,Kale,1009,   2.08
ib0*k<m>1m,6,buy,Kale,1305,   1.96
w49*k<p>7j,12,sell,Corn,2645,   2.08
b18*w<p>8y,9,sell,Okra,2821,   1.88
q09*r<r>3p,11,sell,Corn,733,   0.85
h28*r<a>6s,9,buy,Kale,2938,   1.89
v33*h<z>9m,20,buy,Swede,245,   1.94
h58*z<h>3m,8,buy,Kale,2924,   2.13
w24*y<i>1y,11,sell,Okra,313,   2.04
j27*q<b>2p,15,sell,Parsnip,1763,   1.86
i61*m<e>6q,11,sell,Yam,2183,   2.12
f11*x<v>5c,10,sell,Potato,59,   1.85
v81*o<d>4c,13,sell,Kale,1282,   1.87
x43*k<m>3q,24,sell,Swede,2414,   2.03
n97*i<n>2h,6,sell,Leek,2973,   1.85
q81*v<l>7d,5,sell,Swede,2551,   2.12
h25*g<e>7s,21,sell,Marrow,2389,   1.86
r24*a<e>2p,8,sell,Broccoli,2593,   1.96
r86*n<i>3f,11,sell,Parsnip,2991,   1.84
x22*q<l>5c,12,sell,Mooli,1765,   2.01
i96*v<i>9v,9,sell,Leek,1905,   1.70
t67*x<d>9k,12,sell,Marrow,2198,   2.06
d44*k<u>1i,5,buy,Potato,2401,   2.11
z12*k<o>5o,12,sell,Yam,684,   1.94
x94*u<u>0k,6,sell,Kale,1571,   2.06
d48*d<l>5w,14,buy,Carrot,1625,   2.09
q34*n<i>9a,11,sell,Cabbage,589,   2.08
z72*a<i>2a,7,sell,Swede,2920,   2.11
x97*o<z>5j,8,sell,Leek,450,   2.09
t91*d<k>8k,13,sell,Potato,1898,   1.35
f20*u<h>6a,5,buy,Yam,2517,   1.39
l24*a<d>8k,8,sell,Parsnip,2037,   1.29
q47*g<n>8u,15,sell,Marrow,505,   1.89
t27*a<z>6u,9,sell,Pea,1817,   2.09
n67*m<b>6g,16,sell,Kale,2876,   2.08
q40*f<z>8q,17,sell,Kale,2124,   1.88
z83*x<s>0b,12,buy,Kale,2370,   1.83
d30*c<m>4e,24,sell,Yam,715,   1.99
u%6*a<l>4g,5,sell,Broccoli,128,   2.15
o34*r<e>5d,11,sell,Swede,2996,   1.95
o53*v<q>4k,10,buy,Kale,1594,   1.76
d20*j<v>3h,8,sell,Mooli,212,   1.22
g93*t<g>7q,14,sell,Potato,460,   2.01
z66*v<z>0n,10,sell,Mooli,58,   1.92
e07*y<v>6y,8,sell,Marrow,546,   2.07
m78*i<b>0v,8,sell,Corn,805,   2.10
u97*a<d>2g,7,sell,Mooli,2134,   1.77
c40*e<v>2w,23,sell,Marrow,798,   1.89
d48*w<s>0p,5,buy,Turnip,2598,   0.87
w16*v<m>0l,10,sell,Squash,2274,   1.99
z33*h<a>9u,20,buy,Parsnip,1049,   1.20
s38*x<n>9r,23,sell,Parsnip,2755,   1.82
a47*o<f>8m,9,sell,Pea,2174,   1.90
p85*a<t>1c,24,sell,Marrow,661,   1.81
m64*y<s>8z,9,buy,Sprout,1926,   1.89
k51*t<m>6n,8,sell,Parsnip,2988,   2.11
o07*m<m>3q,17,sell,Kale,2867,   2.07
v25*f<r>3u,23,sell,Mooli,145,   1.47
z6*e<m>4c,10,sell,Kale,855,   1.81
d51*d<Vh>0i,22,sell,Swede,1473,   1.73
e45*n<n>1w,22,buy,Kale,99,   1.88
a84*a<r>1q,20,sell,Marrow,2309,   1.86
i94*d<w>9h,10,sell,Sprout,1455,   0.81
b07*x<v>0l,8,buy,Broccoli,1976,   1.90
f43*o<o>6l,11,sell,Marrow,441,   0.82
w34*m<e>4i,15,sell,Parsnip,2268,   2.09
o95*q<vr7u,11,buy,Turnip,665,   2.02
t28*ro>6y,8,sell,Mooli,604,   2.01
u67*h<l>1v,12,sell,Sprout,1359,   1.94
f16*l<z>8w,8,sell,Cabbage,2454,   1.11
y81*b<w>4v,20,sell,Okra,2507,   1.92
y95*z<l>2i,24,sell,Parsnip,2636,   0.79
d61*v<b>3t,10,sell,Okra,1508,   1.88
y44*m<e>3o,10,sell,Marrow,1605,   2.15
y24*y<n>9e,22,sell,Yam,2414,   1.98
p40*z<y>Bh,8,buy,Potato,2119,   2.03
b67*h<p>p,15,sell,Mooli,1730,   1.98
g96*o<qv>5b,7,buy,Carrot,806,   2.07
y52*n<g22u,7,sell,Broccoli,208,   1.06
j55*e<h>9v,5,buy,Marrow,2629,   2.09
e59*s<h>5v,10,sell,Kale,1820,   1.87
c78*r<d>7s,5,buy,Okra,999,   1.92
i23*q<a>5t,10,sell,Swede,324,   1.99
r29*w<n>9c,8,sell,Parsnip,2214,   1.87
q03*j<a>1a,10,sell,Parsnip,1941,   2.00
s98*d<n>2x,11,sell,Parsnip,305,   1.92
e06*z<x>7z,12,sell,Potato,10,   1.35
ox52*f<v>6w,6,buy,Marrow,494,   2.06
f52*a<p>1x,5,sell,Potato,2510,   1.86
l36*l<q>7v,24,buy,Yam,2978,   1.91
x39*e<r>4r,14,sell,Kale,2557,   1.70
a56*c<l>3z,10,sell,Pea,2785,   1.89
f27*b<l>2w,19,sell,Marrow,69,   0.78
c64*m<l>2l,24,sell,Beetroot,2222,   1.96
b86*x<c>8f,14,buy,Leek,1712,   1.83
z94*l<f>Z8y,9,sell,Parsnip,2369,   1.98
