code, width, action, veg, votes, height
l20*d<r>8o,14,sell,Parsnip,1351,   1.81
n52*a<y>6z,6,sell,Marrow,1384,   2.01
v06*m<l>7q,13,buy,Kale,2939,   2.05
o35*o<f>0y,22,buy,Corn,2465,   1.87
l30*i<w>0r,23,sell,Parsnip,2017,   2.05
b60*h<h>8m,19,sell,Broccoli,1641,   1.84
h69*t<e>6m,22,sell,Cabbage,262,   1.98
b33*x<j>6p,23,sell,Cabbage,1789,   2.00
r62*x<d>8d,17,buy,Potato,2377,   1.94
m67*c<7>1q,8,sell,Marrow,2961,   1.97
m96*f<c>1p,12,sell,Okra,320,   1.74
w89*t<n>8n,12,sell,Corn,2373,   1.57
e57*g<m>7d,8,buy,Pea,653,   2.00
k94*u<p>6o,9,buy,Squash,16,   1.83
o79*o<d>7x,7,buy,Kale,2328,   2.06
c35*s<w>4o,17,sell,Potato,2088,   1.83
c62*s<d>1e,9,sell,Cabbage,430,   2.12
t15*p<p>6c,11,sell,Broccoli,2242,   1.90
d88*v<k>6e,20,sell,Kale,2852,   1.25
n67*k<s>1l,12,sell,Cabbage,1244,   2.13
f48*n<p>0p,18,sell,Leek,1038,   2.02
w34*n<k>6u,17,sell,Marrow,229,   2.08
f37*y<c>4s,14,sell,Parsnip,2629,   1.85
r44*u<a>8c,12,buy,Kale,2373,   2.15
a47*f<v>3b,7,sell,Marrow,1763,   1.95
i28*c<o>7h,9,sell,Okra,1243,   0.75
g31*e<w>5n,13,buy,Pea,2496,   2.01
v68*j<d>4u,5,sell,Okra,200,   1.38
k53*s<z>7l,12,sell,Turnip,2557,   0.91
f53*q<x>#c,6,sell,Potato,1979,   1.36
e23*d<o>8i,9,sell,Cabbage,694,   1.88
l01*j<h>8v,20,sell,Cabbage,1712,   1.82
e1*b<f>5r,15,sell,Kale,2784,   2.14
b97*g<a>6b,13,sell,Parsnip,2218,   1.74
f61*r<6>6p,14,sell,Onion,2035,   1.82
p64*t<c>4p,5,sell,Marrow,1576,   1.95
v19*h<s>0h,9,sell,Okra,191,   2.11
b97*t<r>6w,9,sell,Sprout,93,   2.07
i99*p<y>2x,5,sell,Marrow,1,   1.81
c47fi<d>2j,22,sell,Cabbage,1389,   1.82
y52*c<f>8t,6,sell,Cabbage,569,   0.84
p48*w<u>2s,11,buy,Potato,2557,   2.07
n31*k<p>1x,10,sell,Leek,947,   0.84
t37*o<b>4m,5,sell,Carrot,2356,   1.96
f01*l<a>0p,10,sell,Okra,960,   2.02
o13*x<f>0h,22,sell,Leek,1129,   2.13
b26*h<r>0x,5,buy,Leek,2230,   2.08
z15*w<u>4j,12,sell,Parsnip,1144,   1.96
r20*s<s>2e,6,buy,Cabbage,2506,   1.87
i98*h<r>8m,7,sell,Potato,541,   1.29
p42*e<w>8w,18,buy,Leek,2904,   0.86
e31*q<e>2u,8,buy,Mooli,893,   1.82
j48*l<i>1a,17,sell,Kale,2795,   2.02
p49*l<m>4t,13,sell,Swede,971,   1.58
d71*e<m>5t,8,sell,Kale,2765,   1.20
f12*r<i>4s,9,sell,Leek,2622,   2.11
z25*k<n>2x,9,sell,Cabbage,2239,   1.95
v76*q<p>6s,5,sell,Sprout,2439,   1.98
u80*z<v>4l,19,sell,Pea,602,   1.88
t12*v<n>4h,6,sell,Kale,2628,   2.11
p09*m<e>0v,17,sell,Turnip,271,   1.95
z35*7<g>8q,11,sell,Onion,2473,   1.79
q67sw<r>6o,9,sell,Carrot,1649,   2.01
y77*n<e>3u,13,buy,Kale,1288,   1.94
i51*p<b>7y,5,buy,Sprout,2670,   1.93
g82*r<c95t,16,buy,Potato,2451,   2.11
h34*l<p>8w,12,buy,Turnip,2875,   1.92
i38*t<d>3p,18,sell,Kale,1314,   2.04
p09*q<p>6y,6,sell,Carrot,1141,   1.84
g53*j<n>9e,20,sell,Parsnip,2572,   1.82
g39*t<t>9z,22,sell,Leek,2948,   1.98
l76*h<y>0i,22,buy,Kale,313,   2.04
z41*q<p>4v,21,sell,Sprout,462,   1.88
m87*c<w>6f,21,sell,Mooli,1069,   2.10
c13*x<h>1n,10,sell,Leek,2460,   2.10
x40*b<t>3s,18,buy,Yam,401,   0.79
i98*i<x>9z,10,sell,Okra,2396,   1.92
k47*v<>>3u,9,sell,Potato,464,   1.24
y40*u<w>6o,8,sell,Marrow,816,   2.00
i62*i<u>1i,20,sell,Leek,1119,   1.86
y72*q<z>4y,18,buy,Squash,2468,   1.94
z96*n<v>8v,8,sell,Cabbage,2223,   1.94
o79*v<n>6a,7,sell,Yam,1086,   1.71
p69*b<m>3q,11,sell,Potato,2704,   1.36
b18*g<q>5k,24,sell,Leek,2386,   1.30
z97*q<z>3f,11,buy,Swede,2697,   1.46
k63*p<j>8f,20,buy,Parsnip,2187,   2.12
f89*x<y>6x,7,sell,Yam,1752,   2.04
a29*x<i>1o,6,sell,Marrow,1153,   1.97
u87*f<c>3i,19,sell,Parsnip,567,   1.99
l87*n<z>9v,6,buy,Sprout,1852,   2.08
r62*<y>4j,9,sell,Cabbage,283,   1.91
u97*j<z>9q,15,sell,Leek,92,   1.98
f8n*q<n>1z,20,sell,Leek,1454,   2.14
i35*j<z>4m,9,sell,Okra,2915,   2.09
p52*t<d>6e,9,sell,Corn,2018,   2.14
r40*m<v>0i,23,sell,Parsnip,2090,   1.28
f78*f<n>0q,14,sell,Potato,891,   1.44
